"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 08 13:27:30 IDT 2024","Mon Apr 08 13:27:40 IDT 2024","10302","Surefire suite","Surefire test","examples.WindowAndTabTests","examples.WindowAndTabTests","dragAndDropTest","dragAndDropTest",""
"passed","Mon Apr 08 13:27:48 IDT 2024","Mon Apr 08 13:27:57 IDT 2024","9346","Surefire suite","Surefire test","examples.WindowAndTabTests","examples.WindowAndTabTests","waitForAnElement","waitForAnElement",""
"failed","Sun Apr 07 08:01:23 IDT 2024","Sun Apr 07 08:01:25 IDT 2024","1963","suite1","MyFirstTest","Tests.PhoneBookTest","Tests.PhoneBookTest","reRegistrationAttempt","reRegistrationAttempt","open Login menu"
"passed","Mon Apr 08 13:28:10 IDT 2024","Mon Apr 08 13:28:18 IDT 2024","8221","Surefire suite","Surefire test","Tests.PhoneBookTest","Tests.PhoneBookTest","homeworkAssertTrueRegistrated","homeworkAssertTrueRegistrated","HM"
"passed","Mon Apr 08 13:28:30 IDT 2024","Mon Apr 08 13:28:40 IDT 2024","10461","Surefire suite","Surefire test","Tests.PhoneBookTest","Tests.PhoneBookTest","loginOfAnExistingUserAddContact","loginOfAnExistingUserAddContact","login exist acc and create new contact"
"passed","Mon Apr 08 13:27:30 IDT 2024","Mon Apr 08 13:27:30 IDT 2024","2","Surefire suite","Surefire test","examples.AssertionTest","examples.AssertionTest","testDivideByZero","testDivideByZero",""
"passed","Mon Apr 08 13:28:49 IDT 2024","Mon Apr 08 13:28:56 IDT 2024","7048","Surefire suite","Surefire test","Tests.PhoneBookTest","Tests.PhoneBookTest","reRegistrationAttempt","reRegistrationAttempt","open Login menu"
"passed","Thu Mar 14 15:10:22 IST 2024","Thu Mar 14 15:10:32 IST 2024","10776","suite1","MyFirstTest","Tests.PhoneBookTest","Tests.PhoneBookTest","loginOfAnExistingUserAddContact","loginOfAnExistingUserAddContact","login exist acc and create new contact"
"passed","Mon Apr 08 13:28:59 IDT 2024","Mon Apr 08 13:29:00 IDT 2024","1973","Surefire suite","Surefire test","Tests.PhoneBookTest","Tests.PhoneBookTest","registrationWithoutPassword","The test checks the empty field warning declaration.","User already exist. Login and add contact.!"
"passed","Mon Apr 08 13:27:40 IDT 2024","Mon Apr 08 13:27:48 IDT 2024","8199","Surefire suite","Surefire test","examples.WindowAndTabTests","examples.WindowAndTabTests","sliderTest","sliderTest",""
"passed","Fri Mar 15 13:47:02 IST 2024","Fri Mar 15 13:47:13 IST 2024","10902","Default Suite","MyWebProject_QA41","Tests.PhoneBookTest","Tests.PhoneBookTest","testingTheMailSaver","testingTheMailSaver","s"
"passed","Mon Apr 08 13:27:30 IDT 2024","Mon Apr 08 13:27:30 IDT 2024","2","Surefire suite","Surefire test","examples.AssertionTest","examples.AssertionTest","testDevideByZero","testDevideByZero",""
"broken","Sun Mar 17 15:20:56 IST 2024","Sun Mar 17 15:20:56 IST 2024","13","Default Suite","MyWebProject_QA41","examples.AssertionTest","examples.AssertionTest","devideByZeroTest","devideByZeroTest",""
"failed","Mon Apr 08 13:27:29 IDT 2024","Mon Apr 08 13:27:29 IDT 2024","14","Surefire suite","Surefire test","examples.AssertionTest","examples.AssertionTest","failTest","failTest",""
"passed","Mon Apr 08 12:38:09 IDT 2024","Mon Apr 08 12:38:17 IDT 2024","7927","suite1","MyFirstTest","Tests.PhoneBookTest","Tests.PhoneBookTest","deleteContactApproachTwo","deleteContactApproachTwo",""
"passed","Mon Apr 08 13:27:59 IDT 2024","Mon Apr 08 13:28:07 IDT 2024","8047","Surefire suite","Surefire test","Tests.PhoneBookTest","Tests.PhoneBookTest","deleteContactApproachTwo","deleteContactApproachTwo",""
"passed","Mon Apr 08 13:28:42 IDT 2024","Mon Apr 08 13:28:47 IDT 2024","4932","Surefire suite","Surefire test","Tests.PhoneBookTest","Tests.PhoneBookTest","phoneBookTest_001","phoneBookTest_001",""
"passed","Mon Apr 08 13:27:30 IDT 2024","Mon Apr 08 13:27:30 IDT 2024","2","Surefire suite","Surefire test","examples.AssertionTest","examples.AssertionTest","testCalc","testCalc",""
"failed","Mon Apr 08 13:28:20 IDT 2024","Mon Apr 08 13:28:27 IDT 2024","7385","Surefire suite","Surefire test","Tests.PhoneBookTest","Tests.PhoneBookTest","loginExistingUserAddContactAndDelete","loginExistingUserAddContactAndDelete","login exist acc and create new contact"
"broken","Thu Mar 21 22:35:59 IST 2024","Thu Mar 21 22:35:59 IST 2024","1","Default Suite","MyWebProject_QA41","Tests.PhoneBookTest","Tests.PhoneBookTest","setUp","setUp",""
